Date,Facebook,Apple,Google,Tesla,Intel,Advanced Micro Devices,Microsoft,Genpact
29-03-2019,166.690002,186.989685,1176.890015,279.859985,52.171928,25.52,116.399963,34.864395
01-04-2019,168.699997,188.259598,1198.97998,289.179993,52.95887,26.360001,117.465858,35.092327
02-04-2019,174.199997,190.996262,1205.540039,285.880005,52.813145,26.75,117.633636,35.151791
03-04-2019,173.539993,192.305542,1210.810059,291.809998,53.901272,29.02,118.403458,35.369816
04-04-2019,176.020004,192.640213,1219.449951,267.779999,54.328754,29.09,117.801422,35.161701
05-04-2019,175.720001,193.929794,1211.449951,274.959991,54.017857,28.98,118.324493,35.201344
08-04-2019,174.929993,196.981491,1208.280029,273.200012,54.095581,28.530001,118.363968,35.27071
09-04-2019,177.580002,196.390839,1202.689941,272.309998,53.745827,27.24,117.72245,35.250889
10-04-2019,177.820007,197.493378,1206.449951,276.059998,54.163586,27.83,118.620583,35.399548
11-04-2019,177.509995,195.849411,1209.589966,268.420013,54.212166,27.790001,118.758751,35.439186
12-04-2019,179.100006,195.77066,1222.72998,267.700012,54.814526,27.85,119.370651,35.627483
15-04-2019,179.649994,196.125046,1226.530029,266.380005,54.678509,27.33,119.469353,35.498646
16-04-2019,178.869995,196.144745,1231.910034,273.359985,55.096275,27.93,119.193001,35.677032
17-04-2019,178.779999,199.964279,1240.140015,271.230011,56.893627,27.49,120.179947,35.568024
18-04-2019,178.279999,200.682907,1241.469971,273.26001,56.825623,27.68,121.759056,35.657211
22-04-2019,181.440002,201.342468,1253.76001,262.75,57.146229,28.18,122.143959,35.746407
23-04-2019,183.779999,204.246475,1270.589966,263.899994,57.107365,27.969999,123.802032,36.122997
24-04-2019,182.580002,203.931473,1260.050049,258.660004,57.049076,28.459999,123.377647,35.974339
25-04-2019,193.259995,202.08078,1267.339966,247.630005,55.970661,27.66,127.463577,35.845505
26-04-2019,191.490005,201.116043,1277.420044,235.139999,50.938065,27.879999,128.193909,35.885151
29-04-2019,194.779999,201.421219,1296.199951,241.470001,49.655624,27.690001,128.075485,35.716679
30-04-2019,193.399994,197.542618,1198.959961,238.690002,49.58762,27.629999,128.894653,35.974339
01-05-2019,193.029999,207.23912,1173.319946,234.009995,49.315586,26.809999,126.210159,35.389637
02-05-2019,192.529999,205.890457,1166.51001,244.100006,49.111557,28.290001,124.561966,35.63739
03-05-2019,195.470001,208.449951,1189.550049,255.029999,50.277412,28.219999,127.216843,36.004074
06-05-2019,193.880005,205.230911,1193.459961,255.339996,50.067253,27.42,126.476624,35.924793
07-05-2019,189.770004,199.698502,1178.859985,247.059998,49.343906,26.66,123.880966,35.677032
08-05-2019,189.539993,199.737854,1170.780029,244.839996,48.131813,27.09,123.871117,35.716679
09-05-2019,188.649994,197.591827,1167.969971,241.979996,45.570778,27.209999,123.861244,35.746407
10-05-2019,188.339996,194.854507,1167.640015,239.520004,45.160233,27.959999,125.469955,35.855419
13-05-2019,181.539993,183.529678,1136.589966,227.009995,43.752632,26.24,121.739311,34.785107
14-05-2019,180.729996,186.434998,1124.859985,232.309998,44.153408,27.32,123.101303,35.63739
15-05-2019,186.270004,188.668335,1170.800049,231.949997,44.593281,27.58,124.834839,35.904972
16-05-2019,186.990005,187.838257,1184.5,228.330002,44.505302,28.01,127.717468,36.321201
17-05-2019,185.300003,186.770996,1168.780029,211.029999,43.879711,27.5,126.86557,35.99416
20-05-2019,182.720001,180.930695,1144.660034,205.360001,42.579651,26.68,125.032967,35.974339
21-05-2019,184.820007,184.399307,1154.439941,205.080002,43.459389,27.35,125.706573,36.083355
22-05-2019,185.320007,180.624329,1155.849976,192.729996,43.009743,27.41,126.469322,35.924793
23-05-2019,180.869995,177.541138,1145.339966,195.490005,43.527817,26.360001,124.99334,35.677032
24-05-2019,181.059998,176.859283,1138.609985,190.630005,43.566917,26.440001,125.052765,35.756321
28-05-2019,184.309998,176.128006,1139.560059,188.699997,42.58942,29.049999,124.973534,35.756321
29-05-2019,182.190002,175.288025,1119.939941,189.860001,43.234566,28.09,123.764999,35.449097
30-05-2019,183.009995,176.197189,1121.410034,188.220001,43.723316,28.030001,124.547562,35.726585
31-05-2019,177.470001,173.00528,1106.5,185.160004,43.048843,27.41,122.516846,35.825687
03-06-2019,164.149994,171.256134,1038.73999,178.970001,42.481899,27.58,118.712952,35.657211
04-06-2019,167.5,177.521378,1054.48999,193.600006,43.781963,29.57,122.00174,35.9347
05-06-2019,168.169998,180.387146,1044.640015,196.589996,43.547363,29.5,124.646629,36.103176
06-06-2019,168.330002,183.035568,1047.76001,205.949997,44.084988,31.82,126.617912,36.459949
07-06-2019,173.350006,187.90741,1068.369995,204.5,44.994057,32.41,130.16423,36.648247
10-06-2019,174.820007,190.308762,1082.76001,212.880005,45.746727,33.23,131.352966,36.469856
11-06-2019,178.100006,192.512451,1081.040039,217.100006,45.795601,32.41,130.857666,36.554291
12-06-2019,175.039993,191.89978,1079.099976,209.259995,45.277527,32.18,130.253403,36.743027
13-06-2019,177.470001,191.860229,1091.01001,213.910004,45.648979,31.389999,131.075592,36.534424
14-06-2019,181.330002,190.466873,1086.300049,214.919998,45.150455,30.360001,131.204376,36.733086
17-06-2019,189.009995,191.603317,1093.890015,225.029999,45.091808,29.200001,131.600616,36.901955
18-06-2019,188.470001,196.109528,1105.23999,224.740005,46.303894,30.450001,133.888885,37.478081
19-06-2019,187.479996,195.536377,1104.51001,226.429993,46.010651,30.5,134.41391,37.567482
20-06-2019,189.529999,197.10762,1113.199951,219.619995,46.127945,30.01,135.662033,37.895275
21-06-2019,191.139999,196.435623,1125.369995,221.860001,46.391872,29.1,135.68187,37.537682
24-06-2019,192.600006,196.237991,1116.699951,223.639999,46.558052,29.26,136.484238,37.537682
25-06-2019,188.839996,193.263504,1087.579956,219.759995,45.795601,28.860001,132.17514,37.488014
26-06-2019,187.660004,197.443619,1080.319946,219.270004,47.105442,29.92,132.670441,37.130421
27-06-2019,189.5,197.384323,1076.630005,222.839996,46.391872,30.74,132.888367,37.428417
28-06-2019,193,195.58577,1082.800049,223.460007,46.792645,30.370001,132.70018,37.835678
01-07-2019,193,199.172989,1100,227.169998,46.968597,31.200001,134.403992,38.451534
02-07-2019,195,200.33905,1112.599976,224.550003,47.037018,31.24,135.295517,38.173409
03-07-2019,197.199997,201.999237,1122.98999,234.899994,47.42802,31.190001,136.167252,38.461472
05-07-2019,196.399994,201.82135,1132.670044,233.100006,46.997917,31.5,135.771011,38.272739
08-07-2019,195.759995,197.661011,1116.790039,230.339996,46.743771,32.040001,135.671951,37.964809
09-07-2019,199.210007,198.866638,1124.290039,230.059998,46.675346,33.150002,135.176666,38.103874
10-07-2019,202.729996,200.83316,1140.910034,238.919998,47.124992,33.790001,136.553604,38.133675
11-07-2019,201.229996,199.370621,1144.079956,238.600006,47.506214,33.060001,137.098404,38.093937
12-07-2019,204.869995,200.902344,1145.339966,245.080002,48.796505,33.209999,137.593704,38.322407
15-07-2019,203.910004,202.78981,1150.51001,253.5,48.992004,34.389999,137.593704,38.382004
16-07-2019,203.839996,202.088181,1153.459961,252.380005,48.063385,33.849998,135.790817,38.044277
17-07-2019,201.800003,200.951736,1146.73999,254.860001,48.278439,33.599998,134.988449,37.954876
18-07-2019,200.779999,203.234497,1147.23999,253.539993,48.816055,33,135.137039,38.391941
19-07-2019,198.360001,200.200699,1131.550049,258.179993,49.138634,32.509998,135.335144,38.252872
22-07-2019,202.320007,204.776108,1139.209961,255.679993,50.194328,32.849998,137.128113,38.431671
23-07-2019,202.360001,206.376984,1148.050049,260.170013,50.585323,33.490002,137.980042,38.9184
24-07-2019,204.660004,206.209015,1139.72998,264.880005,51.728989,34.110001,139.396591,39.246193
